Title,Amount,Date,Category
Citizen option company computer.,486.19,2023-05-16,Other
Whatever represent protect.,320.93,2023-08-23,Other
Page later rate.,248.78,2023-05-15,Food
We discussion call rich.,333.84,2023-04-03,Food
Season travel.,72.05,2023-09-20,Food
Side specific seek.,300.63,2023-01-21,Other
Onto according mission.,50.50,2023-04-28,Other
Plan head.,250.75,2023-01-15,Other
Natural they forward like success.,244.07,2023-10-17,Food
Worker media though.,227.74,2023-09-29,Food
Training fire somebody.,441.22,2023-04-17,Other
Scientist popular.,340.69,2023-05-17,Other
Owner she worker.,115.40,2023-01-21,Other
Strong offer last never toward.,211.74,2023-06-27,Food
Up win carry.,255.25,2023-10-31,Other
While great.,77.58,2023-03-20,Food
Wife project perform.,374.19,2023-03-24,Other
Cover worry shake.,393.55,2023-10-01,Food
Apple danish,2.75,2023-01-11,Food
