Title,Amount,Date,Category
Citizen option company computer.,486.19,2023-05-16,Other
Whatever represent protect.,320.93,2023-08-23,Other
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Red yourself near those hear.,468.29,2022-11-24,Travel
Offer lawyer wind artist fear.,486.09,2023-07-17,Utilities
Page later rate.,248.78,2023-05-15,Food
Anyone rule.,419.00,2023-02-23,Entertainment
Reduce blood might as.,401.92,2023-08-11,Travel
We discussion call rich.,333.84,2023-04-03,Food
Television how think news drop.,335.83,2023-04-19,Utilities
Ok opportunity have appear.,444.90,2023-01-26,Utilities
Their against pattern.,172.71,2023-09-09,Entertainment
Season travel.,72.05,2023-09-20,Food
Side specific seek.,300.63,2023-01-21,Other
Hotel space nearly mention girl.,245.69,2023-01-27,Entertainment
Onto according mission.,50.50,2023-04-28,Other
Market probably record college.,116.19,2022-11-17,Travel
Still attention yeah first operation.,33.17,2023-07-15,Utilities
Plan head.,250.75,2023-01-15,Other
Pass difference size there.,90.50,2023-10-16,Travel
Discover spend under character.,392.65,2022-11-18,Food
Boy accept.,46.23,2022-12-22,Utilities
Natural they forward like success.,244.07,2023-10-17,Food
Who production general.,214.63,2023-09-21,Entertainment
Middle marriage since commercial.,305.19,2023-06-21,Travel
Worker media though.,227.74,2023-09-29,Food
Loss base trip.,324.15,2022-09-29,Utilities
Away water experience generation.,476.17,2023-07-26,Entertainment
Be federal third by seem.,217.64,2023-06-14,Utilities
Begin ready deal enough.,136.78,2022-10-04,Travel
Indicate some position.,249.24,2023-06-17,Entertainment
Rich body.,222.98,2023-05-26,Entertainment
Last big where campaign election.,435.70,2023-08-10,Travel
Training fire somebody.,441.22,2023-04-17,Other
Forget appear.,274.85,2023-07-02,Utilities
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Free memory hold.,169.80,2022-11-26,Other
Scientist popular.,340.69,2023-05-17,Other
Free and.,75.89,2023-10-29,Utilities
Compare rich another.,295.25,2022-10-29,Entertainment
Size evidence skill toward.,242.72,2022-12-11,Other
Garden technology brother per may.,480.85,2023-07-15,Travel
Owner she worker.,115.40,2023-01-21,Other
Strong offer last never toward.,211.74,2023-06-27,Food
Left administration civil respond.,218.42,2022-12-01,Travel
Up win carry.,255.25,2023-10-31,Other
Specific behind understand decision.,262.20,2022-10-08,Other
Strategy focus investment member.,245.81,2023-05-18,Utilities
While great.,77.58,2023-03-20,Food
Wife project perform.,374.19,2023-03-24,Other
Team huge certainly.,47.14,2022-12-01,Utilities
Cover worry shake.,393.55,2023-10-01,Food
To return.,270.64,2023-11-11,Travel
Bag heart career threat.,12.43,2022-10-02,Travel
Interview force herself watch.,304.38,2023-03-29,Travel
Will speak town somebody real.,157.47,2023-11-23,Travel
Spring plan effect.,491.48,2022-12-21,Entertainment
Away work.,388.77,2023-06-09,Entertainment
Particular tree support.,313.47,2023-06-24,Entertainment
