Title,Amount,Date,Category
test mutli,9.00,2023-12-05,"Food, Travel"
test mutli,9.00,2023-12-05,"Food, Travel"
t,1.00,2023-12-05,"Food, Travel"
t,1.00,2023-12-05,"Food, Travel"
t 1,1.00,2023-12-05,Food
1,1.00,2023-12-04,"Food, Travel"
1,1.00,2023-12-04,"Food, Travel"
Year since next including.,220.82,2023-06-15,"Food, Travel, Utilities, Entertainment, Other"
Year since next including.,220.82,2023-06-15,"Food, Travel, Utilities, Entertainment, Other"
Year since next including.,220.82,2023-06-15,"Food, Travel, Utilities, Entertainment, Other"
Year since next including.,220.82,2023-06-15,"Food, Travel, Utilities, Entertainment, Other"
Stay suggest read.,150.88,2023-08-13,"Food, Utilities"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Majority expect long degree.,449.03,2023-09-19,"Food, Travel, Utilities, Entertainment"
Majority expect long degree.,449.03,2023-09-19,"Food, Travel, Utilities, Entertainment"
Majority expect long degree.,449.03,2023-09-19,"Food, Travel, Utilities, Entertainment"
Little word agent.,236.27,2023-06-30,"Travel, Utilities"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Road prove.,328.69,2023-10-05,"Food, Travel, Utilities, Entertainment, Other"
Road prove.,328.69,2023-10-05,"Food, Travel, Utilities, Entertainment, Other"
Road prove.,328.69,2023-10-05,"Food, Travel, Utilities, Entertainment, Other"
Road prove.,328.69,2023-10-05,"Food, Travel, Utilities, Entertainment, Other"
Read dog section.,183.84,2023-11-21,"Travel, Utilities, Other"
Read dog section.,183.84,2023-11-21,"Travel, Utilities, Other"
