Title,Amount,Date,Category
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Their against pattern.,172.71,2023-09-09,Entertainment
Who production general.,214.63,2023-09-21,Entertainment
Away water experience generation.,476.17,2023-07-26,Entertainment
Indicate some position.,249.24,2023-06-17,Entertainment
Rich body.,222.98,2023-05-26,Entertainment
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Away work.,388.77,2023-06-09,Entertainment
Particular tree support.,313.47,2023-06-24,Entertainment
